0.13,1
0.51,1
2.6,1
9.3,1
10.04,1
12.96,4
22.791,2
23.231,1
23.931,1
25.001,1
24.861,4
30.591,2
31.231,1
31.831,1
32.901,1
33.421,1
35.281,1
31.341,4
48.632,4
60.942,1
63.082,1
66.693,1
68.763,1
70.343,1
75.283,1
76.033,2
76.413,0
75.423,1
78.303,1
79.433,1
79.953,2
82.133,1
82.103,1
80.753,1
90.053,1
91.043,1
93.144,1
93.484,0
95.294,1
96.154,1
97.464,2
102.224,1
103.294,1
105.664,1
106.124,4
113.294,1
116.344,2
123.395,2
130.325,1
131.275,1
131.905,1
132.215,1
132.915,0
139.025,4
140.355,1
140.825,0
141.975,4
147.406,1
148.826,1
149.406,1
151.896,4
156.546,1
159.326,1
161.606,0
162.706,0
163.476,1
164.526,1
165.086,0
166.256,1
166.766,1
167.616,1
168.366,2
172.997,1
176.477,1
179.197,1
182.227,2
186.237,2
188.207,2
188.717,0
192.377,1
192.987,1
203.258,1
204.888,1
216.358,2
220.478,4
222.889,1
224.779,1
227.099,4
231.459,1
232.499,1
233.919,1
234.729,3
235.879,1
239.189,1
240.399,1
244.079,1
246.129,4
249.76,1
250.25,0
261.78,1
264.49,1
265.6,2
268.25,0
272.21,1
273.651,1
277.321,4
279.921,1
281.401,0
282.371,0
282.721,0
288.191,1
289.741,3
294.741,1
295.211,1
301.792,1
305.012,1
306.362,1
306.802,1
307.272,1
308.252,1
308.962,1
313.552,2
315.292,1
317.252,1
312.982,4
