Activity,User,Trial Number,Time,Arduino Time,accel_X,accel_Y,accel_Z,gyro_X,gyro_Y,gyro_Z,GT
,,,60770.728,1046.0059814453125,9.072387695,-2.688336134,-2.688336134,-0.048869219,-0.020769419,0.006108652,4
,,,60773.398,1048.6820068359375,9.072387695,-2.688336134,-2.688336134,-0.048869219,-0.020769419,0.006108652,4
,,,60773.399,1048.6839599609375,9.072387695,-2.688336134,-2.688336134,-0.048869219,-0.020769419,0.006108652,4
,,,60773.414,1048.6910400390625,9.072387695,-2.688336134,-2.688336134,-0.048869219,-0.020769419,0.006108652,4
,,,60773.414,1048.6920166015625,9.072387695,-2.688336134,-2.688336134,-0.048869219,-0.020769419,0.006108652,4
,,,60773.414,1048.6939697265625,9.072387695,-2.688336134,-2.688336134,-0.048869219,-0.020769419,0.006108652,4
,,,60773.428,1048.7010498046875,9.072387695,-2.688336134,-2.688336134,-0.048869219,-0.020769419,0.006108652,4
,,,60773.428,1048.7030029296875,9.072387695,-2.688336134,-2.688336134,-0.048869219,-0.020769419,0.006108652,4
,,,60773.443,1048.7249755859375,9.072387695,-2.688336134,-2.688336134,-0.048869219,-0.020769419,-0.00122173,4
,,,60773.458,1048.7349853515625,9.072387695,-2.688336134,-2.688336134,-0.048869219,-0.020769419,0.00122173,4
,,,60773.473,1048.7550048828125,9.072387695,-2.688336134,-2.688336134,-0.048869219,-0.020769419,0.00122173,4
,,,60773.488,1048.7569580078125,9.072387695,-2.688336134,-2.688336134,-0.048869219,0.00122173,0.00122173,4
,,,60773.504,1048.7850341796875,9.072387695,-2.688336134,-2.688336134,0,0.00122173,0.003665191,4
,,,60773.518,1048.7950439453125,9.072387695,-2.688336134,-2.688336134,0,0.00122173,0.002443461,4
,,,60773.578,1048.85498,9.072387695,-2.688336134,-2.565105677,0,0.00122173,-0.003665191,4
,,,60773.609,1048.875,9.072387695,-2.420340061,-2.565105677,0.008552114,0.00122173,-0.003665191,4
,,,60773.638,1048.917969,9.072387695,-2.413161516,-2.549552441,0.010995574295520782,0.00122173,-0.006108652,4
,,,60773.668,1048.9300537109375,9.145368576049805,-2.413161516,-2.553141594,0.009773844,0.002443461,-0.006108652,4
