Activity,User,Trial Number,Time,Arduino Time,accel_X,accel_Y,accel_Z,gyro_X,gyro_Y,gyro_Z,GT
,,,52410.135,137.06300354003906,-7.673782349,-4.353740692,-4.51406002,0.021991148591041565,0.006108652,0.009773844,3
,,,52417.906,144.83200073242188,-7.673782349,-4.353740692,-4.51406002,0.021991148591041565,0.006108652,0.009773844,3
,,,52417.908,144.83299255371094,-7.673782349,-4.353740692,-4.51406002,0.021991148591041565,0.006108652,0.009773844,3
,,,52417.908,144.83599853515625,-7.673782349,-4.353740692,-4.51406002,0.021991148591041565,0.006108652,0.009773844,3
,,,52417.921,144.83799743652344,-7.673782349,-4.353740692,-4.51406002,0.021991148591041565,0.006108652,0.009773844,3
,,,52417.921,144.8509979248047,-7.673782349,-4.353740692,-4.51406002,0.021991148591041565,0.006108652,0.009773844,3
,,,52417.921,144.85299682617188,-7.673782349,-4.353740692,-4.51406002,0.021991148591041565,0.006108652,0.009773844,3
,,,52417.936,144.8560028076172,-7.673782349,-4.353740692,-4.51406002,0.021991148591041565,0.006108652,0.009773844,3
,,,52417.936,144.85699462890625,-7.673782349,-4.353740692,-4.51406002,0.021991148591041565,0.006108652,0.009773844,3
,,,52417.95,144.8769989013672,-7.673782349,-4.353740692,-4.51406002,0.021991148591041565,0.006108652,0.035430182,3
,,,52417.965,144.89700317382812,-7.673782349,-4.353740692,-4.51406002,0.021991148591041565,0.006108652,0.042760565876960754,3
,,,52417.981,144.90699768066406,-7.673782349,-4.353740692,-4.51406002,0.021991148591041565,0.006108652,0.05009095,3
,,,52417.995,144.90899658203125,-7.673782349,-4.353740692,-4.51406002,0.021991148591041565,0.010995574295520782,0.05009095,3
,,,52418.011,144.93699645996094,-7.673782349,-4.353740692,-4.51406002,0.061086524,0.010995574295520782,0.047647487,3
,,,52418.026,144.95700073242188,-7.673782349,-4.353740692,-4.51406002,0.065973446,0.010995574295520782,0.045204028487205505,3
,,,52418.072,144.9969940185547,-7.673782349,-4.353740692,-4.262813568,0.094073243,0.004886922,0.047647487,3
,,,52418.102,145.01699829101562,-7.673782349,-4.449454308,-4.262813568,0.061086524,-0.015882496,0.047647487,3
,,,52418.147,145.07699584960938,-7.76949501,-4.48534584,-4.192224979,0.069638632,-0.008552114,0.028099799528717995,3
,,,52418.176,145.10699462890625,-7.76949501,-4.541577339,-4.177868843,0.035430182,-0.008552114,0.010995574295520782,3
