var_aX1,rms_aX1,mean_aX1,std_aX1,skew_aX1,kurt_aX1,var_aY1,rms_aY1,mean_aY1,std_aY1,skew_aY1,kurt_aY1,var_aZ1,rms_aZ1,mean_aZ1,std_aZ1,skew_aZ1,kurt_aZ1,var_gX1,rms_gX1,mean_gX1,std_gX1,skew_gX1,kurt_gX1,var_gY1,rms_gY1,mean_gY1,std_gY1,skew_gY1,kurt_gY1,var_gZ1,rms_gZ1,mean_gZ1,std_gZ1,skew_gZ1,kurt_gZ1,var_aX2,rms_aX2,mean_aX2,std_aX2,skew_aX2,kurt_aX2,var_aY2,rms_aY2,mean_aY2,std_aY2,skew_aY2,kurt_aY2,var_aZ2,rms_aZ2,mean_aZ2,std_aZ2,skew_aZ2,kurt_aZ2,var_gX2,rms_gX2,mean_gX2,std_gX2,skew_gX2,kurt_gX2,var_gY2,rms_gY2,mean_gY2,std_gY2,skew_gY2,kurt_gY2,var_gZ2,rms_gZ2,mean_gZ2,std_gZ2,skew_gZ2,kurt_gZ2,move
0.000662525,6.556565023,6.556516129,0.025739556,-0.768777818,1.863916659,0.00232394,6.841003086,6.84083871,0.048207259,-0.888265656,2.443022866,0.00954157,1.95172182,-1.949354839,0.09768096,-1.73913844,4.685322014,3.696242396,2.756224785,-2.004935484,1.922561415,-2.120042177,6.291728633,24.7120308,7.044315819,-5.070258065,4.971119672,-0.831458429,2.070323195,7.663699159,3.409672021,2.051677419,2.7683387,1.32460056,3.406495417,0.000858746,7.020349511,7.020290323,0.029304372,1.704744996,4.526856775,8.15E-05,6.012748491,6.012741935,0.00902577,-0.219790496,2.175836981,7.03E-05,2.934914814,2.934903226,0.008383932,-1.150011773,4.52555678,1.06E-05,0.021944946,0.021709677,0.003257745,0.757639857,2.422473493,8.24E-05,0.024763397,-0.023096774,0.009078747,0.374429019,2.413700847,5.41E-06,0.006693762,0.006290323,0.002326565,0.174372818,2.082449356,13
0.000166981,6.357786902,6.357774194,0.012922099,-0.411233281,3.592171324,0.001830026,6.942804962,6.942677419,0.042778801,-1.631481108,3.929668348,0.001576073,2.22218192,-2.22183871,0.039699787,1.239289836,4.044812405,0.510146903,1.478299153,-1.300645161,0.714245688,-0.581718515,2.065074574,1.802835503,2.473794454,-2.091645161,1.3426971,-2.895548138,10.45692519,1.483822426,1.428544488,0.777677419,1.2181225,1.912725402,5.75434455,0.000544966,7.037005214,7.036967742,0.023344498,-0.013399417,1.52586798,0.000106114,6.011782734,6.011774194,0.010301164,-0.525737949,3.082797328,0.00031154,2.86321394,2.86316129,0.01765049,1.593854821,4.380220079,1.09E-05,0.023643863,0.023419355,0.003304282,1.499594345,4.863530176,6.58E-05,0.028494482,-0.027354839,0.008109864,1.04074857,4.083593262,1.44E-05,0.003885457,-0.001096774,0.003789062,0.617941642,2.536474722,13
0.000578746,6.696332142,6.696290323,0.024057145,-0.835741252,2.935480896,0.00297494,6.77605115,6.77583871,0.054543009,-0.928682807,2.475918769,0.024194492,1.695595899,-1.688677419,0.155545789,-2.150245656,6.180107644,2.069764426,1.991204426,-1.400677419,1.438667587,-2.685868441,9.347923924,25.64258917,8.051911372,-6.325967742,5.063851219,-0.631811366,1.673138767,6.995651916,3.179943629,1.828129032,2.644929473,1.151812616,3.051489707,0.001672703,7.000470457,7.000354839,0.040898695,1.928778245,6.550740303,0.00024197,6.017664618,6.017645161,0.015555381,-1.677449738,5.365243836,0.000253557,2.976137999,2.976096774,0.015923473,-1.520981353,6.879575865,1.47E-05,0.024071801,0.023774194,0.00383588,1.457877259,4.029143658,0.00018077,0.020265973,-0.015354839,0.013445069,0.666060646,3.685568273,5.45E-06,0.00230007,0.000129032,0.002334408,-0.557625784,2.092083731,13
0.000301396,6.379087378,6.379064516,0.017360752,-0.506058132,2.381771398,0.002499189,6.92862615,6.928451613,0.049991892,-0.82861014,1.960926396,0.010689256,2.155852103,-2.153451613,0.103388858,-1.6983255,5.742806533,2.852089047,2.760997471,-2.205225806,1.688812911,-2.353267044,7.718774743,20.51741646,6.486659546,-4.713935484,4.529615487,-0.931376812,2.091918467,14.41960525,4.812829953,3.034612903,3.797315531,1.239238232,3.066764779,0.001006665,7.007327577,7.007258065,0.031727977,1.529643978,4.862927817,0.000142581,6.008237289,6.008225806,0.011940714,-1.068147701,2.902430741,7.63E-05,2.968947924,2.968935484,0.008736649,0.055954387,2.691772003,1.92E-05,0.022639532,0.022225806,0.004379571,0.692523791,2.714586283,0.000176406,0.028954358,-0.02583871,0.013281809,0.524710865,2.11374441,7.16E-06,0.002890474,0.001193548,0.002676059,0.139734935,2.561960068,13
0.001571256,6.120672604,6.120548387,0.039639071,0.113190637,5.44933938,0.004088757,7.050377393,7.050096774,0.063943389,-0.543816187,1.606315379,0.005419398,2.47580133,-2.474741935,0.07361656,-1.843433728,7.494847539,1.543213903,2.226080238,-1.860645161,1.242261608,-1.522398806,4.801972258,36.54587411,8.241151403,-5.705225806,6.045318363,-1.129392141,2.527781058,25.50028063,6.345844648,3.948677419,5.049780255,1.058266258,2.520840086,0.000231981,7.044241741,7.044225806,0.015230911,0.682967629,4.958633274,4.15E-05,6.003551728,6.003548387,0.006438627,-0.495871914,2.463080661,0.000116613,2.89472917,2.894709677,0.010798745,-0.132797229,2.345356971,3.11E-06,0.019464608,0.019387097,0.001764037,-0.12475161,1.908936536,1.49E-05,0.031167084,-0.030935484,0.003855174,-0.802092981,4.493556876,1.18E-05,0.004789101,0.003387097,0.00344168,0.124285618,1.832421607,13
0.000234865,6.383759738,6.383741935,0.01532529,-0.15307634,2.312122253,0.003512733,6.912245903,6.912,0.059268316,-0.885523681,2.212484571,0.00044434,2.201936355,-2.20183871,0.021079369,0.469450364,3.291568574,0.503549185,1.525509465,-1.356419355,0.709611996,-1.030509617,3.091614124,9.207617503,4.453758884,-3.305354839,3.034405626,-1.681525616,4.68164733,6.418716116,3.347087285,2.234129032,2.533518525,1.27766198,3.173439266,0.000116316,7.008137063,7.008129032,0.010784996,-1.393514869,4.502028609,2.24E-05,6.047195338,6.047193548,0.004728773,0.30194134,2.172064221,9.76E-05,2.89014537,2.890129032,0.0098784,0.369674196,2.370524034,3.89E-06,0.019772904,0.019677419,0.001972935,-0.493961277,2.233124752,1.88E-05,0.029312003,-0.029,0.004335897,1.573775574,4.939791761,6.56E-07,0.008585434,0.008548387,0.000809885,0.606933997,2.387385112,13
0.002042966,6.557118501,6.556967742,0.045199177,-0.707271908,2.771294687,0.002717181,6.846966218,6.846774194,0.052126583,-0.86621519,2.04635946,0.017191058,1.893881149,-1.889483871,0.131114675,-2.192037737,7.289794256,3.761453598,2.757035282,-1.990258065,1.939446725,-2.195227971,7.063989242,57.64949549,10.32388415,-7.126903226,7.592726486,-1.142962658,2.697299005,13.87458583,4.330558122,2.307967742,3.724860512,1.373497159,3.505412935,0.000794781,7.047280377,7.047225806,0.028191854,1.349053705,5.278516485,0.000286865,6.052280999,6.052258065,0.016937075,-0.772242493,3.594001622,0.000161312,2.795415019,2.795387097,0.012700859,-0.462613621,1.910329544,5.99E-06,0.023574864,0.023451613,0.002447294,0.350717033,2.215033151,7.83E-05,0.026045246,-0.024548387,0.008846237,0.226643691,2.809349075,5.09E-06,0.002396234,-0.000903226,0.002256174,0.462141438,3.285782862,13
0.00060137,6.524399438,6.524354839,0.024522844,-1.394138228,5.10282503,0.00293877,6.874561689,6.874354839,0.054210422,-0.969045068,2.396791917,0.01332354,1.918202552,-1.91483871,0.115427639,-2.306161946,8.537654117,2.087314856,2.265672442,-1.764451613,1.444754255,-2.612219923,9.473957606,64.8100146,10.35784241,-6.675741935,8.050466732,-1.364622856,3.393161601,7.658628028,3.239178893,1.755193548,2.767422633,1.511463567,4.005361861,0.000560798,7.05629652,7.056258065,0.023681171,1.459163122,6.539684053,9.49E-05,6.034491477,6.034483871,0.00973951,-0.939997037,6.02234132,0.000162213,2.752738191,2.752709677,0.012736283,-0.521450356,4.820031298,1.41E-05,0.023739854,0.023451613,0.003749122,0.820363743,2.570135074,0.000226314,0.02754,-0.023225806,0.015043736,0.808148839,1.972154853,2.80E-06,0.001665591,0.000258065,0.001672677,2.016341641,6.674435676,13
0.001325028,6.337294719,6.337193548,0.036400933,-1.31257503,4.086953481,0.003393858,6.937720579,6.937483871,0.058256828,-0.795932853,1.987583312,0.002386058,2.209006586,-2.208483871,0.048847293,-0.102252203,2.71688233,1.965109699,2.710121507,-2.333032258,1.401823705,-1.329531634,3.87218416,39.52061417,7.93955401,-4.979032258,6.286542306,-1.818586841,5.043215462,8.011215273,3.602477978,2.28583871,2.830409029,1.392665958,3.673050043,0.000285359,7.07734209,7.077322581,0.016892576,0.0465925,1.662623072,7.39E-05,6.042231726,6.042225806,0.008597324,-1.126886321,3.954579927,0.00026894,2.736886258,2.73683871,0.016399384,0.330827384,2.00545434,4.38E-05,0.02356323,0.022645161,0.006620918,0.733907336,2.022875306,8.21E-05,0.029815562,-0.028451613,0.009062151,0.060225424,1.881026514,1.01E-05,0.005948705,0.005064516,0.003172123,0.163020107,2.466645703,13
0.000279462,6.268957054,6.268935484,0.016717128,-0.501318052,2.340171784,0.002351703,6.95480878,6.954645161,0.048494363,-1.184870993,2.798547644,0.002517473,2.377351155,-2.37683871,0.050174427,0.515030297,3.633445492,2.027740129,2.710060849,-2.319935484,1.423987405,-0.91716212,2.498333431,12.83464018,4.643687102,-3.023774194,3.582546606,-1.404542557,3.704483094,6.45306617,3.138256497,1.898354839,2.5402886,1.339618551,3.433684788,0.000390652,7.086446029,7.086419355,0.019764909,-1.078027766,5.412702591,9.33E-05,6.044426825,6.044419355,0.009660139,-0.378484503,3.172230422,0.000251931,2.695787155,2.695741935,0.01587234,1.70663051,5.435702188,1.49E-05,0.02051514,0.02016129,0.003856568,0.24750197,2.626979822,3.72E-05,0.033382437,-0.03283871,0.006099709,-0.134556351,2.801302992,1.97E-06,0.008086229,0.007967742,0.001401996,0.426759932,3.02324646,13
